# Y-M-D   T H:M:S     ObsNum  Receiver   ObsGoal      ObgPgm      SourceName                ProjectId                   RestFreq      VLSR    TINT    RA          DEC        AZ     EL
2022-02-03T16:17:26    93571  SEQ        Calibration  Cal         U-Her                     2022S1SEQUOIACommissioning      86.2434   -15       5.0  246.447802  18.892462  275.4  57.8  239.76 0
2022-02-03T16:18:39    93572  SEQ        Pointing     Map(Az/D)   U-Her                     2022S1SEQUOIACommissioning      86.2434   -15      84.1  246.447802  18.892462  275.5  57.5  239.76 0
2022-02-03T16:23:05    93573  SEQ        Calibration  Cal         U-Her                     2022S1SEQUOIACommissioning      86.2434   -15       5.0  246.447802  18.892462  275.7  56.4  239.76 0
2022-02-03T16:23:33    93574  SEQ        Pointing     Map(Az/D)   U-Her                     2022S1SEQUOIACommissioning      86.2434   -15      84.6  246.447802  18.892462  275.7  56.3  239.76 0
2022-02-03T16:27:28    93575  SEQ        Calibration  Cal         U-Her                     2022S1SEQUOIACommissioning      86.2434   -15       5.0  246.447802  18.892462  275.9  55.4  239.76 0
2022-02-03T16:28:00    93576  SEQ        Pointing     Map(Az/D)   U-Her                     2022S1SEQUOIACommissioning      86.2434   -15      82.9  246.447802  18.892462  275.9  55.3  239.76 0
2022-02-03T16:32:10    93577  SEQ        Calibration  Cal         U-Her                     2022S1SEQUOIACommissioning      86.2434   -15       5.0  246.447802  18.892462  276.1  54.3  237.6 0
2022-02-03T16:32:37    93578  SEQ        Focus        Bs          U-Her                     2022S1SEQUOIACommissioning      86.2434   -15      20.3  246.447802  18.892462  276.1  54.1  237.6 0
2022-02-03T16:33:27    93579  SEQ        Focus        Bs          U-Her                     2022S1SEQUOIACommissioning      86.2434   -15      20.0  246.447802  18.892462  276.2  54.0  237.6 0
2022-02-03T16:34:18    93580  SEQ        Focus        Bs          U-Her                     2022S1SEQUOIACommissioning      86.2434   -15      20.2  246.447802  18.892462  276.2  53.8  237.6 0
2022-02-03T16:35:07    93581  SEQ        Focus        Bs          U-Her                     2022S1SEQUOIACommissioning      86.2434   -15      20.1  246.447802  18.892462  276.3  53.6  237.6 0
2022-02-03T16:35:56    93582  SEQ        Focus        Bs          U-Her                     2022S1SEQUOIACommissioning      86.2434   -15      20.1  246.447802  18.892462  276.3  53.4  237.6 0
2022-02-03T16:36:47    93583  SEQ        Focus        Bs          U-Her                     2022S1SEQUOIACommissioning      86.2434   -15      20.0  246.447802  18.892462  276.3  53.2  237.6 0
2022-02-03T16:40:34    93584  SEQ        Focus        Bs          U-Her                     2022S1SEQUOIACommissioning      86.2434   -15      20.0  246.447802  18.892462  276.5  52.3  237.6 0
2022-02-03T16:41:25    93585  SEQ        Focus        Bs          U-Her                     2022S1SEQUOIACommissioning      86.2434   -15      20.3  246.447802  18.892462  276.5  52.1  237.6 0
2022-02-03T16:42:15    93586  SEQ        Focus        Bs          U-Her                     2022S1SEQUOIACommissioning      86.2434   -15      20.2  246.447802  18.892462  276.6  51.9  237.6 0
2022-02-03T16:43:06    93587  SEQ        Focus        Bs          U-Her                     2022S1SEQUOIACommissioning      86.2434   -15      20.0  246.447802  18.892462  276.6  51.7  237.6 0
2022-02-03T16:45:40    93588  SEQ        Calibration  Cal         U-Her                     2022S1SEQUOIACommissioning      86.2434   -15       5.0  246.447802  18.892462  276.7  51.1  239.76 0
2022-02-03T16:46:08    93589  SEQ        Pointing     Map(Az/D)   U-Her                     2022S1SEQUOIACommissioning      86.2434   -15      82.9  246.447802  18.892462  276.8  51.0  239.76 0
2022-02-03T16:52:59    93590  SEQ        Calibration  Cal         U-Her                     2022S1SEQUOIACommissioning      86.2434   -15       5.0  246.447802  18.892462  277.1  49.4  239.76 0
2022-02-03T16:53:28    93591  SEQ        Pointing     Map(Az/D)   U-Her                     2022S1SEQUOIACommissioning      86.2434   -15      83.0  246.447802  18.892462  277.1  49.3  239.76 0
2022-02-03T17:01:35    93592  SEQ        Calibration  Cal         U-Her                     2022S1SEQUOIACommissioning      86.2434   -15       5.1  246.447802  18.892462  277.5  47.3  199.98 0
2022-02-03T17:02:02    93593  SEQ        OOF          Map(Az/C)   U-Her                     2022S1SEQUOIACommissioning      86.2434   -15      81.2  246.447802  18.892462  277.5  47.2  199.98 0
2022-02-03T17:07:52    93594  SEQ        Calibration  Cal         U-Her                     2022S1SEQUOIACommissioning      86.2434   -15       5.0  246.447802  18.892462  277.8  45.9  199.98 0
2022-02-03T17:08:19    93595  SEQ        OOF          Map(Az/C)   U-Her                     2022S1SEQUOIACommissioning      86.2434   -15      80.3  246.447802  18.892462  277.8  45.8  199.98 0
2022-02-03T17:14:16    93596  SEQ        Calibration  Cal         U-Her                     2022S1SEQUOIACommissioning      86.2434   -15       5.3  246.447802  18.892462  278.1  44.4  199.98 0
2022-02-03T17:14:42    93597  SEQ        OOF          Map(Az/C)   U-Her                     2022S1SEQUOIACommissioning      86.2434   -15      81.1  246.447802  18.892462  278.1  44.3  199.98 0
2022-02-03T17:25:51    93598  SEQ        Calibration  Cal         CHI-Cyg                   2022S1SEQUOIACommissioning      86.2434     9       5.0  297.641318  32.914043  359.5  76.0  239.76 0
2022-02-03T17:26:23    93599  SEQ        Pointing     Map(Az/D)   CHI-Cyg                   2022S1SEQUOIACommissioning      86.2434     9      84.7  297.641318  32.914043  359.0  76.0  239.76 0
2022-02-03T17:31:13    93600  SEQ        Calibration  Cal         CHI-Cyg                   2022S1SEQUOIACommissioning      86.2434     9       5.0  297.641318  32.914043  354.9  76.0  199.98 0
2022-02-03T17:31:39    93601  SEQ        OOF          Map(Az/C)   CHI-Cyg                   2022S1SEQUOIACommissioning      86.2434     9      80.1  297.641318  32.914043  354.5  75.9  199.98 0
2022-02-03T17:38:07    93602  SEQ        Calibration  Cal         CHI-Cyg                   2022S1SEQUOIACommissioning      86.2434     9       5.0  297.641318  32.914043  349.0  75.7  199.98 0
2022-02-03T17:38:34    93603  SEQ        OOF          Map(Az/C)   CHI-Cyg                   2022S1SEQUOIACommissioning      86.2434     9     150.3  297.641318  32.914043  348.6  75.7  199.98 0
2022-02-03T17:45:29    93604  SEQ        Calibration  Cal         CHI-Cyg                   2022S1SEQUOIACommissioning      86.2434     9       5.0  297.641318  32.914043  343.0  75.3  199.98 0
2022-02-03T17:45:56    93605  SEQ        OOF          Map(Az/C)   CHI-Cyg                   2022S1SEQUOIACommissioning      86.2434     9     151.8  297.641318  32.914043  342.7  75.3  199.98 0
2022-02-03T17:51:31    93606  SEQ        Calibration  Cal         CHI-Cyg                   2022S1SEQUOIACommissioning      86.2434     9       5.3  297.641318  32.914043  338.4  74.8  199.98 0
2022-02-03T17:51:57    93607  SEQ        OOF          Map(Az/C)   CHI-Cyg                   2022S1SEQUOIACommissioning      86.2434     9     149.3  297.641318  32.914043  338.1  74.8  199.98 0
2022-02-03T17:58:23    93608  SEQ        Calibration  Cal         CHI-Cyg                   2022S1SEQUOIACommissioning      86.2434     9       5.0  297.641318  32.914043  333.6  74.2  199.98 0
2022-02-03T17:58:50    93609  SEQ        OOF          Map(Az/C)   CHI-Cyg                   2022S1SEQUOIACommissioning      86.2434     9     149.1  297.641318  32.914043  333.3  74.1  199.98 0
2022-02-03T18:05:30    93610  SEQ        Calibration  Cal         CHI-Cyg                   2022S1SEQUOIACommissioning      86.2434     9       5.0  297.641318  32.914043  329.1  73.4  199.98 0
2022-02-03T18:05:56    93611  SEQ        OOF          Map(Az/C)   CHI-Cyg                   2022S1SEQUOIACommissioning      86.2434     9     149.3  297.641318  32.914043  328.9  73.3  199.98 0
2022-02-03T18:12:02    93612  SEQ        Calibration  Cal         CHI-Cyg                   2022S1SEQUOIACommissioning      86.2434     9       5.0  297.641318  32.914043  325.4  72.5  199.98 0
2022-02-03T18:12:28    93613  SEQ        OOF          Map(Az/C)   CHI-Cyg                   2022S1SEQUOIACommissioning      86.2434     9     149.4  297.641318  32.914043  325.2  72.5  199.98 0
2022-02-03T18:17:48    93614  SEQ        Calibration  Cal         CHI-Cyg                   2022S1SEQUOIACommissioning      86.2434     9       5.3  297.641318  32.914043  322.5  71.7  199.98 0
2022-02-03T18:18:15    93615  SEQ        OOF          Map(Az/C)   CHI-Cyg                   2022S1SEQUOIACommissioning      86.2434     9     149.0  297.641318  32.914043  322.2  71.7  199.98 0
2022-02-03T18:28:25    93616  SEQ        Calibration  Cal         CHI-Cyg                   2022S1SEQUOIACommissioning      86.2434     9       5.1  297.641318  32.914043  319.6  70.8  199.98 0
2022-02-03T18:28:58    93617  SEQ        OOF          Map(Az/C)   CHI-Cyg                   2022S1SEQUOIACommissioning      86.2434     9     149.2  297.641318  32.914043  317.5  70.0  199.98 0
2022-02-03T18:35:00    93618  SEQ        Calibration  Cal         CHI-Cyg                   2022S1SEQUOIACommissioning      86.2434     9       5.0  297.641318  32.914043  315.3  69.0  199.98 0
2022-02-03T18:35:24    93619  SEQ        OOF          Map(Az/C)   CHI-Cyg                   2022S1SEQUOIACommissioning      86.2434     9     150.5  297.641318  32.914043  315.1  69.0  199.98 0
2022-02-03T18:47:03    93620  SEQ        Calibration  Cal         CHI-Cyg                   2022S1SEQUOIACommissioning      86.2434     9       5.1  297.641318  32.914043  311.4  66.9  237.6 0
